iter	Passed	Remaining
0	242	48309
1	281	27834
2	312	20517
3	349	17115
4	379	14818
5	411	13303
6	442	12213
7	475	11408
8	505	10735
9	538	10230
10	568	9773
11	601	9416
12	633	9112
13	664	8831
14	695	8573
15	725	8342
16	755	8130
17	784	7934
18	813	7753
19	844	7601
20	874	7452
21	905	7323
22	935	7198
23	965	7077
24	1001	7009
25	1034	6922
26	1066	6830
27	1096	6735
28	1127	6647
29	1158	6563
30	1189	6482
31	1219	6399
32	1249	6321
33	1280	6250
34	1310	6177
35	1340	6107
36	1372	6045
37	1402	5981
38	1435	5925
39	1465	5863
40	1495	5798
41	1525	5737
42	1554	5677
43	1583	5615
44	1613	5558
45	1652	5532
46	1682	5476
47	1711	5420
48	1739	5361
49	1768	5305
50	1798	5253
51	1827	5200
52	1856	5150
53	1885	5096
54	1914	5046
55	1943	4996
56	1973	4950
57	2002	4902
58	2030	4851
59	2059	4804
60	2087	4755
61	2115	4709
62	2143	4660
63	2172	4616
64	2199	4569
65	2227	4521
66	2255	4477
67	2285	4436
68	2315	4397
69	2344	4353
70	2372	4310
71	2398	4264
72	2425	4219
73	2453	4177
74	2480	4133
75	2507	4091
76	2535	4049
77	2563	4009
78	2590	3967
79	2617	3925
80	2643	3883
81	2669	3841
82	2697	3802
83	2724	3763
84	2751	3722
85	2777	3681
86	2802	3640
87	2828	3600
88	2854	3560
89	2881	3521
90	2906	3481
91	2932	3442
92	2957	3403
93	2983	3364
94	3010	3327
95	3036	3289
96	3062	3252
97	3087	3213
98	3113	3176
99	3139	3139
100	3165	3102
101	3190	3065
102	3216	3029
103	3243	2993
104	3268	2957
105	3295	2922
106	3320	2886
107	3347	2851
108	3372	2815
109	3396	2778
110	3422	2743
111	3447	2708
112	3471	2673
113	3496	2637
114	3521	2602
115	3545	2567
116	3571	2533
117	3596	2499
118	3620	2464
119	3645	2430
120	3670	2396
121	3695	2362
122	3720	2329
123	3745	2295
124	3769	2261
125	3795	2228
126	3819	2195
127	3844	2162
128	3868	2129
129	3893	2096
130	3917	2063
131	3944	2032
132	3968	1999
133	3993	1967
134	4018	1934
135	4043	1902
136	4068	1870
137	4093	1839
138	4118	1807
139	4142	1775
140	4167	1743
141	4191	1712
142	4216	1680
143	4240	1649
144	4265	1617
145	4290	1586
146	4314	1555
147	4339	1524
148	4364	1493
149	4388	1462
150	4414	1432
151	4438	1401
152	4463	1371
153	4489	1340
154	4513	1310
155	4537	1279
156	4563	1249
157	4587	1219
158	4613	1189
159	4637	1159
160	4663	1129
161	4687	1099
162	4711	1069
163	4736	1039
164	4760	1009
165	4785	980
166	4810	950
167	4834	920
168	4859	891
169	4885	862
170	4910	832
171	4935	803
172	4960	774
173	4985	744
174	5069	724
175	5121	698
176	5155	669
177	5234	646
178	5260	617
179	5286	587
180	5311	557
181	5336	527
182	5361	498
183	5387	468
184	5414	438
185	5445	409
186	5473	380
187	5500	351
188	5525	321
189	5551	292
190	5577	262
191	5604	233
192	5629	204
193	5654	174
194	5681	145
195	5707	116
196	5734	87
197	5759	58
198	5785	29
199	5812	0
